"Jahr","PLZ","Generalabonnement","Generalabonnement.Flag","Halbtaxabonnement","Halbtaxabonnement.Flag","Bevölkerung","anteil_ga_besitzer","anteil_hta_besitzer"
2018,6863,7.58461538461538,1,86,NA,617,1.22927315796035,13.9384116693679
2018,6873,7.58461538461538,1,38,NA,387,1.95984893659312,9.81912144702842
2018,6877,7.58461538461538,1,219,NA,2937,0.258243629030146,7.45658835546476
2018,6916,7.58461538461538,1,32,NA,498,1.52301513747297,6.42570281124498
2018,6917,7.58461538461538,1,63,NA,517,1.46704359470317,12.1856866537718
2018,6918,7.58461538461538,1,135,NA,1615,0.469635627530364,8.35913312693499
2018,6932,51,NA,725,NA,5188,0.983037779491133,13.9745566692367
2018,6953,7.58461538461538,1,117,NA,1086,0.698399206686499,10.7734806629834
2018,6954,7.58461538461538,1,142,NA,977,0.776316825446815,14.5342886386899
2018,6956,7.58461538461538,1,30,NA,285,2.6612685560054,10.5263157894737
2018,6964,7.58461538461538,1,186,NA,1576,0.481257321358844,11.8020304568528
2018,6966,7.58461538461538,1,44,NA,571,1.32830392024788,7.70577933450088
2018,6968,7.58461538461538,1,123,NA,1075,0.705545617173524,11.4418604651163
2018,6983,20,NA,197,NA,1642,1.21802679658953,11.9975639464068
2018,6984,7.58461538461538,1,166,NA,1341,0.56559398841278,12.3788217747949
2018,7014,49,NA,334,NA,884,5.54298642533937,37.7828054298643
2018,7017,74,NA,627,NA,1701,4.35038212815991,36.8606701940035
2018,7018,50,NA,348,NA,988,5.06072874493927,35.2226720647773
2018,7026,7.16470588235294,1,146,NA,519,1.38048282896974,28.131021194605
2018,7076,7.16470588235294,1,91,NA,233,3.07498106538753,39.0557939914163
2018,7082,23,NA,140,NA,610,3.77049180327869,22.9508196721311
2018,7084,7.16470588235294,1,44,NA,137,5.22971232288536,32.1167883211679
2018,7112,7.16470588235294,1,10.8771929824561,2,81,8.84531590413943,13.4286333116742
2018,7113,7.16470588235294,1,10.8771929824561,2,38,18.8544891640867,28.6241920590951
2018,7142,7.16470588235294,1,58,NA,216,3.31699346405229,26.8518518518519
2018,7143,7.16470588235294,1,49,NA,206,3.478012564249,23.7864077669903
2018,7144,22,NA,139,NA,495,4.44444444444444,28.0808080808081
2018,7145,7.16470588235294,1,36,NA,128,5.59742647058824,28.125
2018,7151,7.16470588235294,1,167,NA,648,1.10566448801743,25.7716049382716
2018,7158,7.16470588235294,1,95,NA,313,2.28904341289231,30.3514376996805
2018,7163,7.16470588235294,1,64,NA,304,2.35681114551084,21.0526315789474
2018,7173,7.16470588235294,1,52,NA,240,2.98529411764706,21.6666666666667
2018,7180,73,NA,502,NA,1793,4.07138873396542,27.9977691020636
2018,7242,7.16470588235294,1,49,NA,203,3.52941176470588,24.1379310344828
2018,7260,121,NA,1045,NA,2741,4.41444728201386,38.1247719810288
2018,7276,7.16470588235294,1,81,NA,331,2.16456371068065,24.4712990936556
2018,7302,271,NA,1294,NA,4807,5.63761181610152,26.919076346994
2018,7307,46,NA,316,NA,886,5.19187358916479,35.665914221219
2018,7314,7.16470588235294,1,10.8771929824561,2,59,12.1435692921236,18.4359203092477
2018,7323,126,NA,697,NA,2732,4.61200585651537,25.5124450951684
2018,7324,106,NA,562,NA,2085,5.08393285371703,26.9544364508393
2018,7326,7.16470588235294,1,37,NA,108,6.63398692810458,34.2592592592593
2018,7404,7.16470588235294,1,46,NA,113,6.34044768349818,40.7079646017699
2018,7412,56,NA,255,NA,789,7.09759188846641,32.319391634981
2018,7421,7.16470588235294,1,90,NA,446,1.60643629649169,20.1793721973094
2018,7431,7.16470588235294,1,10.8771929824561,2,59,12.1435692921236,18.4359203092477
2018,7452,7.16470588235294,1,44,NA,248,2.88899430740038,17.741935483871
2018,7464,7.16470588235294,1,25,NA,119,6.02076124567474,21.0084033613445
2018,7473,7.16470588235294,1,10.8771929824561,2,60,11.9411764705882,18.1286549707602
2018,7493,7.16470588235294,1,60,NA,234,3.06184012066365,25.6410256410256
2018,7505,69,NA,417,NA,1489,4.63398253861652,28.0053727333781
2018,7514,7.16470588235294,1,151,NA,621,1.15373685706167,24.3156199677939
2018,7523,7.16470588235294,1,61,NA,210,3.41176470588235,29.047619047619
2018,7524,38,NA,508,NA,1186,3.20404721753794,42.8330522765599
2018,7536,7.16470588235294,1,96,NA,330,2.17112299465241,29.0909090909091
2018,7542,7.16470588235294,1,58,NA,193,3.71228284059738,30.0518134715026
2018,7545,7.16470588235294,1,72,NA,183,3.91513982642237,39.344262295082
2018,7546,20,NA,121,NA,406,4.92610837438424,29.8029556650246
2018,7552,7.16470588235294,1,26,NA,98,7.3109243697479,26.530612244898
2018,7556,7.16470588235294,1,100,NA,346,2.07072424345461,28.9017341040462
2018,7557,7.16470588235294,1,25,NA,58,12.3529411764706,43.1034482758621
2018,7560,7.16470588235294,1,32,NA,92,7.78772378516624,34.7826086956522
2018,7741,7.16470588235294,1,54,NA,612,1.17070357554787,8.82352941176471
2018,7744,7.16470588235294,1,10.8771929824561,2,148,4.84101748807631,7.34945471787577
2018,8044,887,NA,5308,NA,10749,8.25193041213136,49.381337798865
2018,8045,845,NA,4853,NA,11030,7.66092475067996,43.9981867633726
2018,8106,82,NA,908,NA,4712,1.7402376910017,19.2699490662139
2018,8108,109,NA,1032,NA,4149,2.62713906965534,24.8734634851772
2018,8113,56,NA,452,NA,1377,4.06681190994917,32.8249818445897
2018,8117,146,NA,1600,NA,4558,3.20315928038613,35.1031154014919
2018,8134,772,NA,6946,NA,18771,4.11272707900485,37.0038889776783
2018,8135,282,NA,2690,NA,7601,3.71003815287462,35.3900802525983
